year;number;IUPAC anionic;IUPAC neutral;CAS anionic;CAS neutral;SMILES anionic;SMILES neutral;HIL;HIL t, nm;HIL, HOMO;HIL, LUMO;HIL_HTL, HOMO;HIL_HTL, LUMO;HTL;HTL tikness, nm;HTL, HOMO;HTL, LUMO;HTL_EML, HOMO;HTL_EML, LUMO;EML tikness, nm;HOMO, anionic lig;LUMO, anionic lig;HOMO, neutral lig;LUMO, neutral lig;HOMO, EML;LUMO, EML;HOMO, EML clc from lig;LUMO, EML clc from lig;EML_Matrix, HOMO;EML_Matrix, LUMO;Matrix;EML/Matrix;EML method;Matrix HOMO;Matrix LUMO;EML_ETL, HOMO;EML_ETL, LUMO;ETL1;ETL1, nm;ETL1, HOMO;ETL1, LUMO;ETL1_ETL2, HOMO;ETL1_ETL2, LUMO;ETL2;ETL2, nm;ETL2, HOMO;ETL2, LUMO;ETL2_EIL, LUMO;EIL;EIL, nm;LUMO;EIL_Cath, LUMO;Cathode1;nm;LUMO;Cathode;nm;LUMO;Max. irradiance, uW/cm2;EQE, %;ECE, uW/W;Uon;t, us;QY, %;HOMO;LUMO;EML hole mobilty, cm2/Vs;EML electron mobility, cm2/Vs;EML total, cm2/Vs;Pixel size, mm2;Doi
2001;Yb-1.1;5,10,15,20-tetraphenylporphyrin;pentane-2,4-dione;917-23-7;123-54-6;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;CC(=O)CC(C)=O;PEDOT:PSS;;-5.2;-2.3;0.1;0.7;;;;;0.1;0.7;;-4.917372094;-2.206028198;-6.826523918;-1.226962026;;;-5.871948006;-1.716495112;-0.57;1.28;MEH-PPV ;0.05;SC;-5.3;-3;;-0.02;;;;;;;;;;;-0.02;;;;;Ca;5;-2.98;Al;150;-4.2;;0.015;;4;;;;;;;;;10.1063/1.1421413
;;5,10,15,20-tetraphenylporphyrin;pentane-2,4-dione;917-23-7;123-54-6;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;CC(=O)CC(C)=O;PEDOT:PSS;;-5.2;-2.3;0.7;-0.6;;;;;0.67;-0.58;;-4.917372094;-2.206028198;-6.826523918;-1.226962026;;;-5.871948006;-1.716495112;;;PPP-OR11 ;0.2;SC;;;;1.26;;;;;;;;;;;1.26;;;;;Ca;5;-2.98;Al;150;-4.2;;0.1;;4;;;;;;;;;10.1063/1.1421413
2003;Yb-1.2;5,10,15,20-tetraphenylporphyrin;Not defined;917-23-7;;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;;PEDOT:PSS;;-5.2;-2.3;-0.3;-0.1;;;;;-0.28;-0.09;;-4.917372094;-2.206028198;;;;;-4.917372094;-2.206028198;;;PS;4;SC;;;;0.77;;;;;;;;;;;0.77;;;;;Ca;5;-2.98;Al;200;-4.2;0.6;0.1;;4;32;3.2;;;;;;;10.1002/adfm.200390031
2004;;5,10,15,20-tetraphenylporphyrin;Not defined;917-23-7;;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;;PEDOT-PSS ;;-5.2;-2.3;-0.3;-0.1;;;;;-0.28;-0.09;;-4.917372094;-2.206028198;;;;;-4.917372094;-2.206028198;;;PPP-OR11;0.1;SC;;;;0.77;;;;;;;;;;;0.77;;;;;Ca;5;-2.98;Al;200;-4.2;;;;;32;3.2;;;;;;;10.1021/cm049937f
;Yb-1.3;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.05;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;1.6;0.005;;6;43;3.4;;;;;;;10.1021/cm049937f
;;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.1;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;5;0.018;;5;43;3.4;;;;;;;10.1021/cm049937f
;;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.15;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;10;0.013;;5;43;3.4;;;;;;;10.1021/cm049937f
2000;Yb-2;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;50;-5.5;-2.3;1;-0.6;;;;;1.03;-0.58;25;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;;;;;TVD;;;-0.73;0.98;;;;;;;Alq3;50;-5.8;-2.7;1.62;;;;;;;;Mg,Ag (10:1);100;-4.32;;;;15;12;1.41;;;;;;;10.1246/cl.2000.280
2001;;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;30;-5.5;-2.3;0;0;;;;;0;0;30;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;-1.03;0.58;TPD;1;TVD;-5.5;-2.3;1.02937543;-0.582416432;;;;;;;Yb-2;60;-6.52937543;-1.717583568;2.602416432;;;;;;;;Mg:Ag;150;-4.32;;;;4.5;12;1.41;;;;;;;10.1016/S0040-6090(01)00831-8
2001;;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;40;-5.5;-2.3;1;-0.6;;;;;1.03;-0.58;20;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;;;;;TVD;;;0.17;1.18;;;;;;;BCP;40;-6.7;-2.9;1.42;;;;;;;;Mg:Ag (10:1);150;-4.32;;3.00E-04;;9;12;1.41;;;;;;;10.1143/JJAP.40.350
